== canonical triangle toy, n=18, m=3, deterministic (no seed) ==
== (1.5x rescale of the n=12 design; all statistics identical) ==

2x2 tables identical across all 6 edge/scenario combinations:
   
    0 1
  0 9 3
  1 3 3

-- A --
   edge    rho  phi   gini  o_bar w_star
1 e1_ij 0.3967 0.25 0.2879 0.6667 0.1883
2 e2_jk 0.3967 0.25 0.2879 0.6667 0.1883
3 e3_ik 0.3967 0.25 0.2879 0.6667 0.1883
 cosines: 0.6667 0.6667 0.6667 

-- B --
   edge    rho  phi   gini   o_bar w_star
1 e1_ij 0.3967 0.25 0.2879 -0.3333      0
2 e2_jk 0.3967 0.25 0.2879 -0.3333      0
3 e3_ik 0.3967 0.25 0.2879 -0.3333      0
 cosines: -0.3333 -0.3333 -0.3333 

S entries are multiples of 1/9 (means are 1/3): S*9 =
A:
      [,1] [,2] [,3]
 [1,]    4    4    4
 [2,]    4    4    4
 [3,]    4    4    4
 [4,]   -2    1   -2
 [5,]   -2    1   -2
 [6,]   -2    1   -2
 [7,]   -2   -2    1
 [8,]   -2   -2    1
 [9,]   -2   -2    1
[10,]    1   -2   -2
[11,]    1   -2   -2
[12,]    1   -2   -2
[13,]    1    1    1
[14,]    1    1    1
[15,]    1    1    1
[16,]    1    1    1
[17,]    1    1    1
[18,]    1    1    1
B:
      [,1] [,2] [,3]
 [1,]    4   -2   -2
 [2,]    4   -2   -2
 [3,]    4   -2   -2
 [4,]   -2    4   -2
 [5,]   -2    4   -2
 [6,]   -2    4   -2
 [7,]   -2   -2    4
 [8,]   -2   -2    4
 [9,]   -2   -2    4
[10,]    1    1    1
[11,]    1    1    1
[12,]    1    1    1
[13,]    1    1    1
[14,]    1    1    1
[15,]    1    1    1
[16,]    1    1    1
[17,]    1    1    1
[18,]    1    1    1
